title,content,tokens
Page 13,"Introduction part emphatically negative) and of members of the Wagnerian community (including Wagner himself).But soon he had to realize that there was only a marginal interest among the public in his way of dealing with issues,whether they were philosophical topics such as truth and the metaphysi-cal foundations of knowledge, topics concerning the history and value ofreligion and morality , or topics such as the critical assessment of modernculture and ideas about how to overcome what he considered to be thefundamental problems of modernity . This lack of interest showed in thedismal number of copies sold of his books.  The most discouraging experience for Nietzsche, however, may not have been this failure to gain a wider recognition. If he could have believedthat his few readers represented some sort of elite, perhaps a group ofdistinguished intellectuals, then their taking notice of his writings wouldhave been of importance to him and this might have counterbalanced hislack of public success. Unfortunately he could not entertain even thatbelief. From the very few reactions he became aware of – mostly reviewsof his books in more or less obscure journals – he had to conclude that he was read by only a few readers – and the wrong ones. In his view ,his readership consisted of people either unable or unwilling (or both)to understand him adequately . He blamed his readers for not being inthe least prepared to give credit to his intentions and for being attentiveonly to those points which conveniently conﬁrmed them in their ownnegative preconceptions. What he was missing on a fundamental levelwas a readiness on the part of readers to explore things his way , a feelingof intellectual kinship between author and audience, or, to put it anotherway , he deeply craved recognition from an audience that he thought ﬁtting.This is touchingly expressed in two short remarks from Ecce Homo . The ﬁrst relates explicitly only to his Zarathustra, though it is quite likely that Nietzsche thought it true of his other writings as well: “In order to See the Introduction by Raymond Geuss to the edition of The Birth of Tragedy in this series (Cambridge University Press,  ). Of the book Nietzsche valued most, Zarathustra , whose ﬁrst three parts were published separately in and , only about sixty to seventy copies each were sold within the ﬁrst three years after their appearance (see letter to Franz Overbeck, summer  :KSB VII, pp.  –). The fourth part of the Zarathustra was published in  in a private edition of only forty copies and was not accessible to a wider public before  .BGE did not fare much better:  copies were sold within a year (see letter to Peter Gast, June  :KSB VIII, pp. –). Nietzsche comments (in the same letter to Gast): “Instructive! Namely , they simply don’t want my literature.” It seems that most of his other books had the same fate – they too were utterly neglected during the periodin his life when he would still have cared about their success. xi",769
Page 14,"Introduction understand anything at all from my Zarathustra , you might need to be conditioned as I am – with one foot beyond life.”The second remark delineates what he takes to be his ideal reader, and there is no doubt thathe meant what he says: “When I call up the image of a perfect reader,what emerges is a monster of courage and curiosity , who is also supple,clever, cautious, a born adventurer and discoverer.”  What emerges is a picture of a totally isolated, highly neurotic man who had to try hard to avoid thinking of himself as a complete failure. His wayof dealing with this situation seems to have been simply not to accept theidea that all these annoying circumstances might have been brought aboutpartly by particularities or deﬁciencies that could be traced back to hisown person, so he managed to combine a perfectly clear and even realisticassessment of what was happening to him with an unshakeable convictionthat all this had nothing to do with him and revealed nothing about him.It is this ability which, in my view , accounts for two dominant traits thatappear in his published works. The ﬁrst is that he never even came closeto considering the possibility that – given the general intellectual climateof his time – his lack of success as an author might have something to do with his pursuing the “wrong” topics in a “wrong” way . It never crossedhis mind that what he thought to be an interesting, novel, and valuableinsight might indeed have been exactly what it seemed to be to almost allof his contemporaries – an overstated triviality , an extremely one-sidedexaggeration or an embarrassing piece of bad reasoning. He simply stuckto the points he felt he had to make, deeply convinced of being on the righttrack, and fending off all signs of criticism or neglect with the maxim “somuch the worse for the critic.”  Ecce Homo (“Why I am so wise,” end of §). Ibid. (“Why I write such good books,” end of §). In the same text he mentions explicitly the reactions to BGE as an example of how severely it was misunderstood or, to use his terminology , how gravely this book was sinned against because its readers were not up to its challenge (“Why I write such good books,” end of §). InEcce Homo Nietzsche even presents an explanation as to why he believes this stance to be perfectly reasonable: “Ultimately , nobody can get more out of things, including books, than he already knows. For what one lacks access to from experience one will have no ear. Now let us imagine an extreme case: that a book speaks of nothing but events that lie altogether beyond thepossibility of any frequent or even rare experience – that it is the ﬁrst language for a new series of experiences. In that case, simply nothing will be heard, but there will be the acoustic illusion that where nothing is heard, nothing is there ...Whoever thought he had understood something of me, had made up something out of me after his own image ...and whoever had understood nothing of me, denied that I need to be considered at all.” “Why I write such good books,” §, xii",727
Page 15,"Introduction This attitude becomes increasingly visible in his writings after Zarathustra and culminates in his late texts of  , especially in Ecce Homo . Here we ﬁnd brilliant and witty remarks which rightly became notorious (though Nietzsche himself might not have found them veryamusing, because they can also be read as documents of despair). I quotetwo of them: “W e all know , several of us even know from experience,what it is to have long ears. W ell then, I will dare to claim that I havethe smallest ears. This is of no little interest to women – it seems theythink I understand them better? ...I am the anti-ass par excellence and this makes me a world-historical monster – I am, in Greek, but not onlyin Greek, the Antichrist .” The other is: “I know my fate. One day , my name will be associated with the memory of something tremendous – acrisis the like of which the world has never seen, the most profound col-lision of conscience, of a decision brought about against everything that has ever been believed, demanded, or held holy so far. I am not a man. Iam dynamite.”  The second trait which we ﬁnd in Nietzsche’s writings is closely con- nected to his inability to assess himself in the light of others’ reactions.It consists in his total unconcern about the tenability of his views whenjudged according to standards that he thinks are alien to his approach.Starting from the conviction that there is no common ground betweenhim and his reader, that what he has to say is most likely incomprehensi-ble to almost everybody else, he does not feel obliged to enter the socialgame of competitive discourse. He refuses to try to convince people bysomehow connecting to their way of thinking; he does not refute possi-ble arguments against the points he wants to make by giving reasons intheir favor. Instead, he makes abundantly clear his contempt for “nor-mal” thinking and his impatience with the evaluations of others. It is thisstance which gives so many readers the impression of an overwhelmingpolemical element in Nietzsche’s literary presentation of his views. Hereinforces it by insisting over and over again that what he has to tell usare above all histruths. The claim to exclusivity is meant to imply both that his main concern is not whether we ﬁnd these truths convincing, and translation from W . Kaufmann, On the Genealogy of Morals and Ecce Homo (Vintage: New Y ork,  ), p. . Ecce Homo , “Why I write such good books,” end of §, translation Kaufmann, p.  . Ibid ., “Why I am a destiny ,” beginning of §, translation Kaufmann, p.  . xiii",688
Page 16,"Introduction that he does not pretend to have found the Truth, for he thinks this is a metaphysical illusion anyway . Thus we ﬁnd embedded in Nietzsche’s basic view of himself the rec- ommendation not that we read his texts as aiming at “objectively valid”judgments, at judgments that are (metaphysically) true irrespective of thecultural and psychological context in which they are made (whatever thatmay be), but that we think of them as narratives that he invites us to listento, without really obliging us to believe them if we are not the right kindof person. This does not mean that the stories he has to tell us about,say , truth, morality , the will to power, or culture are, in his view , on apar with ﬁctions, pleasant or otherwise. On the contrary , he believed hisstories to be the ultimate stories, the stories that are destined to becomethe standard versions of our assessment of these phenomena. This is notbecause his narratives are objectively , or in a context-free sense, the mostﬁtting; rather, they will succeed because eventually people will change toa condition where they appreciate the fact that these narratives are bestsuited to capture their sense of the right perspective on phenomena ifthey are considered against the background of what for them is the realmeaning of life. Before looking more closely at some aspects of BGE itself, let me sum- marize what I take to be the lessons for approaching Nietzsche’s writingsthat can be learned from his personal situation and his way of dealing withit. They take the form of three warnings: ( ) do not expect these writings to express impartial views on whatever subject they address – they ex-press, in an emphatic sense, Nietzsche’s own views; ( ) do not be annoyed by his obsession with apodictic statements whose immense generalityvery often contradicts both normal expectations of modesty and the mostobvious requirements of common sense – these stylistic eccentricities re-ﬂect his resolute disdain for what most people cherish, especially peoplewho he suspects are not willing to listen to him; ( ) never forget that the author does not want to get mixed up with “us,” his normal insensitive“academic” readers. He does not want to be “one of us” – instead he insists on what he calls “distance,” in order to uphold his view of himselfand to remind us of his uniqueness. A last quotation from Ecce Homo may highlight these points: “ Listen to me [the emphasis is on the ‘me’]. For I am thus and thus. Do not, above all, confound me. ”  Ibid ., Preface, §. xiv",608
Page 17,"Introduction III BGE is the ﬁrst book Nietzsche published after Thus Spoke Zarathustra . He never gave up on the notion that all he really wanted to say is containedinZarathustra , and this led him to claim that the works he wrote after Zarathustra are essentially nothing but elaborations and explications of ideas already present in his opus magnum . This claim has been disputed by quite a number of his commentators, ﬁrstly because many of the most central ideas in Zarathustra cease to play an important role in his later writings, and secondly because the literary form of the later writingsconnects them much more closely to his books prior to Zarathustra than toZarathustra itself. However that may be, Nietzsche himself was of the opinion that Zarathustra set the stage for everything he had to do subsequently . He writes: “The task for the years that followed [i.e. theyears after Zarathustra ] was mapped out as clearly as possible. Once the yes-saying part of my task had been solved [by means of Zarathustra ], it was time for the no-saying, no-doing part.” This seems to imply that he regarded his post- Zarathustra writings as consisting of predominantly critical essays. BGE is best known to a wider public for its proverbs. Indeed, some of Nietzsche’s best-known maxims are assembled in this text, ranging fromperspicuous insights to highly controversial statements. Starting with thePreface, where we ﬁnd his much used and misused saying, “Christianityis Platonism for the ‘people,’” almost every one of the nine parts ofthe book contains lines that have entered the repertoire of educated orpolemical discourse: “life as such is will to power” ( §); “humans are the still undetermined [nicht festgestellte ]animals ”(§); “When a woman has scholarly inclinations, there is usually something wrong with hersexuality” ( § ); “Morality in Europe these days is the morality of herd animals ”(§ ); and (slightly paraphrased here): “saintliness – the highest spiritualization of the instinct of cleanliness” ( § ). These proverbs are in a way the least of what BGE has to offer. Its primary fascination lies on a deeper level: this book introduces us into aworld of remarkable conjectures, suspicions, and implications. Thoughone might say this is true of most of Nietzsche’s other published works aswell, with the exception of Zarathustra , there is nevertheless a difference See, e.g., M. Tanner, Introduction to BGE andNietzsche ,p .. Ecce Homo ,‘Beyond Good and Evil ’,§, translation Kaufmann, p.  . xv",705
Page 18,"Introduction in emphasis between BGE and the other writings. Whereas the other texts pursue their subjects from many different angles, BGE (like The Genealogy of Morals , which Nietzsche announced on the back of its title page as “a sequel to my last book, Beyond Good and Evil , which it is meant to supplement and clarify”) is highly focused on the psychologicalaspects of its topics. In BGE Nietzsche confronts us primarily (though not exclusively) with a dimension of his thought that he was particularlyproud of – his psychological stance. This integration of what he calls apsychological point of view into his general practice of casting doubts onreceived convictions by tracing their origins, of throwing into questionour most fundamental beliefs by pointing out their shakiness, and ofscrutinizing available alternatives in the light of a new vision of the valueof life – this I take to be the most distinctive feature of BGE . Nietzsche himself gives the following account of what he is doing in BGE : “This book (  ) is in every essential a critique of modernity ; mod- ern sciences, modern arts, even modern politics are not excluded. Besidesthis, it is an indication of an opposing type, which is as un-modern as pos-sible, a noble, yes-saying type.” Though this characterization is accurate and conﬁrms the view that Nietzsche considers his task to be mainly acritical one, it is by no means complete. Interestingly enough, it does notmention two topics which some readers take to be the subject of the mostdisturbing reﬂections in the book: morality and religion. This is surpris-ing because these are the topics which seem to emerge most strongly inany consideration of its main message. In order to appreciate the distinctive approach which Nietzsche favors inBGE in his dealings with what he calls “modernity ,” it might be worth- while to say a few words about his more general outlook. The starting pointfor almost everything Nietzsche is interested in throughout his entire in-tellectual career can be nicely summarized in the form of the question“how are we to live?” or, more poignantly , “how are we to endure life?” He considered this question to be of the utmost importance, because ofthree interconnected convictions that he treated virtually as facts. Hisﬁrst conviction was that life is best conceived of as a chaotic dynamicprocess without any stability or direction. The second is articulated inthe claim that we have no reason whatsoever to believe in any such thingas the “sense” or the “value” of life, insofar as these terms imply the idea Ibid . xvi",594
Page 19,"Introduction of an “objective” or “natural” purpose of life. The third is that human life is value-oriented in its very essence – that is, without adherence tosome set of values or other, human life would be virtually impossible.Whereas the ﬁrst conviction is supposed to state an ontological fact, thesecond is meant to be an application of the ontological point to the nor-mative aspects of human life in particular. The third conviction, thoughsomewhat at odds with the other two, is taken by Nietzsche to reveal apsychological necessity . (How Nietzsche came to hold these convictions,and whether they can be supported, there is not space to examine here,although a closer look would no doubt lead back to his use of some ofSchopenhauer’s ideas and to his picture of what constituted the culturallife of pre-Socratic ancient Greece.) Against the background of these convictions, Nietzsche became inter- ested in the question of the origin of values, a question that eventuallyled him to a whole array of unorthodox and original answers. All his an-swers ultimately follow from a pattern of reasoning which in its mostbasic structure is quite simple and straightforward: if there are no values“out there,” in the sense in which we believe stars and other physical objects to be “out there” and if, at the same time, we cannot do withoutvalues, then there must be some value-creating capacity within ourselveswhich is responsible for the values we cherish and which organizes ourlives. Though presumably we are all endowed with this capacity , there are very few of us who manage to create values powerful enough to forcepeople into acceptance and to constitute cultural and social proﬁles. Tocreate such constitutive values seems to be, according to Nietzsche, theprerogative of real philosophers (not philosophy professors), of uniqueartists (if there are any), of even rarer founders of religions, and, aboveall, of institutions that develop out of the teaching of creative individuals,i.e., of science, philosophy , and theology . Thus, anyone interested in thefunction and the origin of values should scrutinize the processes whichenabled these persons and institutions to create values. At this point Nietzsche’s more detailed investigations tend to start spreading out in a remarkable number of different directions. It is here,too, that in one sense we should take BGE to have its point of depar- ture. That the detailed analysis of all the phenomena connected with the For, after all, there seems to be no reason to think that Nietzsche would not allow in principle that each of us could be transformed into a “free spirit,” i.e., a person who has the capacity and strength to create and stick to the “right” values. xvii",608
Page 20,"Introduction concept of value is a very tricky task methodologically is documented not only in BGE but also in almost all of Nietzsche’s other writings. Acknowledging the fact that the different features of the value-creatingprocesses are much too complex to be accessible by means of a singleexplanatory scheme, Nietzsche tentatively pursues several different ap-proaches. He merges psychological hypotheses with causal explanations,and combines them with historical observations and linguistic consid-erations into a multi-perspectival technique that he fondly refers to ashis “genealogical method.” In BGE , where he is occupied mainly with the psychological dimension of the process of value formation, he appliesthis method primarily in an attempt to come to an understanding of thoseaspects of the value problem that pertain to its normative elements, thatis, to the question of good and bad. At the risk of oversimpliﬁcation one can say the bulk of this work addresses three topics, each one of which can be expressed best in termsof a question. The ﬁrst is this: why is it impossible for us to live withoutvalues, why do we need values at all, or, more in line with Nietzsche’sterminology , what is the value of values? The second is this: how does ithappen that the values we and the overwhelming majority of the membersof our culture subscribe to have either been bad from the beginning orhave degenerated into bad values? The third topic is this: what is theright perspective on values; what should we expect values to be? Thoughthese three questions are in a certain sense perennial, Nietzsche relatesthem directly to what he saw as the manifest historical situation of hisage and the prevailing conditions of the cultural tradition he lived in,so much of what he has to say is deeply rooted in his response to latenineteenth-century central European conceptions. This is something weshould never forget when we confront his texts. Nietzsche speaks to usfrom the past, and this fact alone might account for some features of hiswriting that we would now consider idiosyncratic – for example, his wayof talking about women and about national characteristics. IV At this point we face a problem that I take to be crucial for any adequateassessment of Nietzsche’s project. It concerns the manner in which weare to comprehend his approach to the topics under examination. Nowthat we have identiﬁed a number of central questions that he discusses in xviii",527
Page 21,"Introduction BGE, it is tempting to proceed in the way normally used in dealing with philosophical texts: stating the questions addressed, and then trying toline up the arguments that the advocate of a position puts forward in favorof the answers he comes up with. However, in the case of Nietzsche andBGE it is by no means evident that such a procedure would capture what Nietzsche is doing and what BGE is all about. There are few arguments to be found in BGE, and those which can be extracted are seldom of the most convincing kind. Following the normal procedure would alsoencourage the illusion that Nietzsche designed BGE to be understood simply in terms of arguments, whether good or bad, and I cannot ﬁndanything in BGE which would encourage such an illusion.  There is considerable evidence that we should try a different approach, and the clue lies in Nietzsche’s numerous allusions to the practices of whathe calls the “new philosophers.” To be the type of philosopher Nietzschevalues is to follow hunches, to think at a “presto” pace ( § ), to embark on experiments both intellectual and existential ( §§ , ),to transform and to create values ( §§ , ), to put forward hypotheses that are risky: in short, to be interested in what he calls “dangerous perhapses” ( §). One would not expect a person with this conception of philosophy to hold theidea that what counts most in the endeavor to reach highly unorthodoxand sometimes even shocking insights is to be in possession of a “goodargument,” and that one could or should present one’s views in compliancewith this idea. Rather, one would expect such a person to pursue a verydifferent path in expressing his views, which would involve starting with abold claim or striking observation and then using it in a variety of differentways. It might form the basis for an analysis of something in terms of thatclaim or observation, or it might point to a symptom, presupposition, orconsequence of a very general or a very particular state of affairs. It evenmight be related tentatively to topics which at ﬁrst sight have nothing There are passages that make it very hard to believe in this illusion. See, e.g., remarks in § that the activity of reason-giving is a post hoc affair intended to justify “some fervent wish that they have sifted through and made properly abstract,” or (in the same section) his making fun ofSpinoza’s mos geometricus as a masquerade. In my eyes, the most striking passage for discouraging this illusion is to be found in § , where Nietzsche talks about what he calls philosophical states or moods. Here he compares the “right” way of doing philosophy with the “normal” attitude and writes concerning the latter: “Y ou [‘normal’ philosophers] imagine every necessity is a need, a painful having to follow and being compelled.” This “having to follow” and “being compelled” I read as a reference to the procedure of establishing results via sound arguments. Nietzsche uses the German word Versuch (attempt, experiment) in a broad way which makes that term cover the connotations of Versuchung (temptation) and Versucher (tempter) as well. Cf. §. xix",793
Page 22,"Introduction to do with what the original claim or the ﬁrst observation was about. In short, one could envision a philosopher under the spell of Nietzschean“new philosophy” as someone whose methodology is deeply entangled inand in thrall to what could be called “what if ” scenarios.  If this is how a “new philosopher” approaches problems, it seems beside the point to treat Nietzsche’s proclaimed insights as based on arguments.The concept of a “result” or a “solution” also becomes obsolete, since this type of philosophy is obviously not oriented towards results and solutionsunderstood in the sense of statements which can be defended againstthorough critical resistance. Its aim consists instead in the uncoveringof surprising possibilities and the playful presentation of innovative per-spectives that do not aspire to the status of rock-hard “truths” but aremeant to be offerings or propositions for a like-minded spirit.  Nietzsche obviously intended BGE to exemplify as clearly as possible all the characteristics he attributes to the style, the method, and the intentionsof the “new philosophers” – and yet it is remarkable how often this factis not sufﬁciently acknowledged by his interpreters. This oversight isremarkable not only because it seems to be in part responsible for awkwardattempts to integrate Nietzsche’s intellectual products into traditionalacademic philosophy , but above all because it tends to miss what might be called, for want of a better term, the “socio-hermeneutical” dimension ofwhat has become known as his doctrine of “perspectivism.” This doctrine It should go without saying that this imagined scenario does not exclude “good arguments.” Rather, the scenario is meant to show that if one deals with topics in the way outlined above, the guiding intention is not to give or toﬁnd “good arguments.” In Nietzsche’s terminology , this amounts to the claim that a “good argument” is not an overriding methodological “value.” Invoking his polemical inventory , one could say , in his spirit: to be obsessed by “the will to a good argument” indicates bad taste. Again, this characterization is not meant to suggest that what these “new philosophers” areproclaiming is something they are not serious about or do not want us to take seriously . It is onlymeant to emphasize that what they put forward is connected very intimately with their personal point of view , and hence it is nothing that they can force on someone if there is no shared basis of experience, of resentment ( ressentiment ), or suffering. See BGE §, where Nietzsche expresses this point in an especially belligerent fashion. These attempts do not necessarily result in uninformative or misleading accounts of aspects ofNietzsche’s thought. On the contrary , many of them shed considerable light on the historical background of his ideas and on the impact they could have on various discussions that happento take place within the framework of academic philosophy . They are, however, operating under the unavoidable (and, perhaps, reasonable) restrictions of that framework. This puts them in the position of having to abstract from the personal or “perspectival” features essential to Nietzsche’sconceptions. That there is a price to be paid for this “academization” is obvious. It is revealed in the difference between the excitement and fun that one can have in reading Nietzsche and theboredom that one sometimes experiences when reading the literature on him. xx",795
